0.16262,0,0.67156,1.4051,0.52695
0,0.22217,0,0.66806,1.4046,0.52679
0.001,0.28,0,0.66464,1.4041,0.52664
0.002,0.33618,0,0.66131,1.4035,0.52649
0.003,0.39075,0,0.65805,1.403,0.52634
0.004,0.44375,0,0.65488,1.4025,0.52619
0.005,0.49522,0,0.65177,1.402,0.52604
0.006,0.54521,0,0.64875,1.4015,0.52589
0.007,0.59376,0,0.6458,1.401,0.52574
0.008,0.64091,0,0.64292,1.4005,0.52559
0.009,0.68671,0,0.64011,1.4,0.52544
0.01,0.73117,0,0.63737,1.3996,0.5253
0.011,0.77436,0,0.63469,1.3991,0.52515
0.012,0.81629,0,0.63209,1.3986,0.52501
0.013,0.85701,0,0.62954,1.3981,0.52486
0.014,0.89655,0,0.62707,1.3976,0.52472
0.015,0.93494,0,0.62465,1.3971,0.52457
0.016,0.97221,0,0.6223,1.3967,0.52443
0.017,1.0084,0,0.62,1.3962,0.52429
0.018,1.0436,0,0.61777,1.3957,0.52415
0.019,1.0777,0,0.61559,1.3952,0.524
0.02,1.1108,0,0.61347,1.3948,0.52386
0.021,1.143,0,0.6114,1.3943,0.52372
0.022,1.1742,0,0.60939,1.3938,0.52358
0.023,1.2045,0,0.60742,1.3933,0.52344
0.024,1.2339,0,0.60551,1.3929,0.5233
0.025,1.2625,0,0.60365,1.3924,0.52316
0.026,1.2902,0,0.60184,1.392,0.52303
0.027,1.3172,0,0.60008,1.3915,0.52289
0.028,1.3433,0,0.59836,1.391,0.52275
0.029,1.3687,0,0.59669,1.3906,0.52261
0.03,1.3933,0,0.59506,1.3901,0.52248
0.031,1.4172,0,0.59347,1.3897,0.52234
0.032,1.4404,0,0.59193,1.3892,0.5222
0.033,1.4629,0,0.59043,1.3887,0.52207
0.034,1.4848,0,0.58897,1.3883,0.52193
0.035,1.506,0,0.58755,1.3878,0.5218
0.036,1.5266,0,0.58617,1.3874,0.52166
0.037,1.5466,0,0.58482,1.3869,0.52153
0.038,1.566,0,0.58352,1.3865,0.52139
0.039,1.5848,0,0.58224,1.386,0.52126
0.04,1.6031,0,0.58101,1.3856,0.52113
0.041,1.6208,0,0.5798,1.3851,0.52099
0.042,1.6381,0,0.57863,1.3847,0.52086
0.043,1.6548,0,0.57749,1.3843,0.52073
0.044,1.671,0,0.57639,1.3838,0.5206
0.045,1.6867,0,0.57531,1.3834,0.52046
0.046,1.702,0,0.57426,1.3829,0.52033
0.047,1.7168,0,0.57324,1.3825,0.5202
0.048,1.7312,0,0.57226,1.382,0.52007
0.049,1.7452,0,0.57129,1.3816,0.51994
0.05,1.7587,0,0.57036,1.3812,0.51981
0.051,1.7718,0,0.56945,1.3807,0.51967
0.052,1.7846,0,0.56857,1.3803,0.51954
0.053,1.797,0,0.56771,1.3798,0.51941
0.054,1.809,0,0.56687,1.3794,0.51928
0.055,1.8207,0,0.56606,1.379,0.51915
0.056,1.832,0,0.56528,1.3785,0.51902
0.057,1.8429,0,0.56451,1.3781,0.51889
0.058,1.8536,0,0.56377,1.3777,0.51876
0.059,1.8639,0,0.56304,1.3772,0.51863
0.06,1.874,0,0.56234,1.3768,0.51851
0.061,1.8837,0,0.56166,1.3764,0.51838
0.062,1.8931,0,0.561,1.3759,0.51825
0.063,1.9023,0,0.56035,1.3755,0.51812
0.064,1.9112,0,0.55973,1.3751,0.51799
0.065,1.9198,0,0.55912,1.3746,0.51786
0.066,1.9282,0,0.55853,1.3742,0.51773
0.067,1.9363,0,0.55796,1.3738,0.5176
0.068,1.9442,0,0.5574,1.3734,0.51748
0.069,1.9518,0,0.55686,1.3729,0.51735
0.07,1.9592,0,0.55633,1.3725,0.51722
0.071,1.9664,0,0.55582,1.3721,0.51709
0.072,1.9734,0,0.55533,1.3716,0.51697
